Season,Guest star,Role(s),No.,Prod. code,Episode title
16,Terry W. Greene,Sgt. Activity,340–1605,FABF21,"""Fat Man and Little Boy"""
16,Eric Idle,Declan Desmond,340–1605,FABF21,"""Fat Man and Little Boy"""
16,Tom Brady,Himself,343–1608,GABF02,"""Homer and Ned's Hail Mary Pass"""
16,LeBron James,Himself,343–1608,GABF02,"""Homer and Ned's Hail Mary Pass"""
16,Michelle Kwan,Herself,343–1608,GABF02,"""Homer and Ned's Hail Mary Pass"""
16,Warren Sapp,Himself,343–1608,GABF02,"""Homer and Ned's Hail Mary Pass"""
16,Yao Ming,Himself,343–1608,GABF02,"""Homer and Ned's Hail Mary Pass"""
16,50 Cent,Himself,344–1609,GABF03,"""Pranksta Rap"""
16,Dana Gould,Barney Fife,344–1609,GABF03,"""Pranksta Rap"""
16,Marcia Wallace,Edna Krabappel,345–1610,GABF04,"""There's Something About Marrying"""
16,Gary Busey,Himself,346–1611,GABF05,"""On a Clear Day I Can't See My Sister"""
16,Jane Kaczmarek,Judge Constance Harm,346–1611,GABF05,"""On a Clear Day I Can't See My Sister"""
16,Marcia Wallace,Edna Krabappel,346–1611,GABF05,"""On a Clear Day I Can't See My Sister"""
16,Lucy Liu,Madam Wu,347–1612,GABF06,"""Goo Goo Gai Pan"""
16,Robert Wagner,Himself,347–1612,GABF06,"""Goo Goo Gai Pan"""
16,Frank Gehry,Himself,349–1614,GABF08,"""The Seven-Beer Snitch"""
16,Joe Mantegna,Fat Tony,349–1614,GABF08,"""The Seven-Beer Snitch"""
16,Charles Napier,Officer Krackney,349–1614,GABF08,"""The Seven-Beer Snitch"""
16,John DiMaggio,Bender,350–1615,GABF12,"""Future-Drama"""
16,Amy Poehler,Jenda,350–1615,GABF12,"""Future-Drama"""
16,Marcia Wallace,Edna Krabappel,350–1615,GABF12,"""Future-Drama"""
16,Stephen Hawking,Himself,351–1616,GABF10,"""Don't Fear the Roofer"""
16,Ray Romano,Ray Magini,351–1616,GABF10,"""Don't Fear the Roofer"""
16,Albert Brooks,Tab Spangler::Jacques,352–1617,GABF11,"""The Heartbroke Kid"""
16,Marcia Wallace,Edna Krabappel,352–1617,GABF11,"""The Heartbroke Kid"""
16,Fantasia Barrino,Clarissa Wellington,353–1618,GABF13,"""A Star Is Torn"""
16,Baha Men,"Sing ""Who Wants a Haircut?"" (parody of the song Who Let the Dogs Out?)",354–1619,GABF14,"""Thank God, It's Doomsday"""
16,Los Lobos,Play end credits,354–1619,GABF14,"""Thank God, It's Doomsday"""
16,Jason Bateman,Himself,355–1620,GABF15,"""Home Away from Homer"""
16,Liam Neeson,Father Sean,356–1621,GABF09,"""The Father, the Son, and the Holy Guest Star"""
16,Marcia Wallace,Edna Krabappel,356–1621,GABF09,"""The Father, the Son, and the Holy Guest Star"""
17,Alec Baldwin,Caleb Thorn,357–1701,GABF18,"""Bonfire of the Manatees"""
17,Joe Mantegna,Fat Tony,357–1701,GABF18,"""Bonfire of the Manatees"""
17,Terry Bradshaw,Himself,360–1704,GABF17,"""Treehouse of Horror XVI"""
17,Terry W. Greene,Lava-tron,360–1704,GABF17,"""Treehouse of Horror XVI"""
17,Dennis Rodman,Himself,360–1704,GABF17,"""Treehouse of Horror XVI"""
17,Lily Tomlin,Tammy,363–1707,GABF22,"""The Last of the Red Hat Mamas"""
17,Maria Grazia Cucinotta,Francesca Terwilliger,364–1708,HABF02,"""The Italian Bob"""
17,Kelsey Grammer,Sideshow Bob,364–1708,HABF02,"""The Italian Bob"""
17,Marcia Wallace,Edna Krabappel,364–1708,HABF02,"""The Italian Bob"""
17,Joe Frazier,Himself,366–1710,HABF03,"""Homer's Paternity Coot"""
17,William H. Macy,Himself,366–1710,HABF03,"""Homer's Paternity Coot"""
17,Michael York,Mason Fairbanks,366–1710,HABF03,"""Homer's Paternity Coot"""
17,Marcia Wallace,Edna Krabappel,367–1711,HABF04,"""We're on the Road to D'ohwhere"""
17,Marcia Wallace,Edna Krabappel,368–1712,HABF05,"""My Fair Laddy"""
17,Michael Dees,"Sings ""Fly Me to the Moon""",369–1713,HABF06,"""The Seemingly Never-Ending Story"""
17,Maurice LaMarche,Commander McBragg,369–1713,HABF06,"""The Seemingly Never-Ending Story"""
17,Marcia Wallace,Edna Krabappel,369–1713,HABF06,"""The Seemingly Never-Ending Story"""
17,Antonio Fargas,Huggy Bear,370–1714,HABF07,"""Bart Has Two Mommies"""
17,Randy Johnson,Himself,370–1714,HABF07,"""Bart Has Two Mommies"""
17,Susan Sarandon,Herself,370–1714,HABF07,"""Bart Has Two Mommies"""
17,Dave Thomas,Bob Hope,370–1714,HABF07,"""Bart Has Two Mommies"""
17,Ricky Gervais,Charles Heathbar,371–1715,HABF08,"""Homer Simpson, This Is Your Wife"""
17,Marcia Wallace,Edna Krabappel,371–1715,HABF08,"""Homer Simpson, This Is Your Wife"""
17,Michael Carrington,Sports anchor #2,372–1716,HABF09,"""Million Dollar Abie"""
17,Rob Reiner,Himself,372–1716,HABF09,"""Million Dollar Abie"""
17,Richard Dean Anderson,Himself,373–1717,HABF10,"""Kiss Kiss, Bang Bangalore"""
17,Meher Tatna,Indian passenger,373–1717,HABF10,"""Kiss Kiss, Bang Bangalore"""
17,Amick Byram,Singing Itchy,375–1719,HABF12,"""Girls Just Want to Have Sums"""
17,Jim Gilstrap,Wise Old Cat singer,375–1719,HABF12,"""Girls Just Want to Have Sums"""
17,Bob Joyce,Singing Scratchy,375–1719,HABF12,"""Girls Just Want to Have Sums"""
17,Frances McDormand,Melanie Upfoot,375–1719,HABF12,"""Girls Just Want to Have Sums"""
17,Sally Stevens,Singing Female Cat,375–1719,HABF12,"""Girls Just Want to Have Sums"""
17,Marcia Wallace,Edna Krabappel,375–1719,HABF12,"""Girls Just Want to Have Sums"""
17,Oren Waters,Singing Male Cat,375–1719,HABF12,"""Girls Just Want to Have Sums"""
17,Sal Bando,Himself,376–1720,HABF13,"""Regarding Margie"""
17,Gene Tenace,Himself,376–1720,HABF13,"""Regarding Margie"""
17,Marcia Wallace,Edna Krabappel,376–1720,HABF13,"""Regarding Margie"
17,Melanie Griffith,Herself,377–1721,HABF14,"""The Monkey Suit"""
17,Larry Hagman,Wallace Brady,377–1721,HABF14,"""The Monkey Suit"""
17,Stacy Keach,Howard K. Duff VII,378–1722,HABF16,"""Marge and Homer Turn a Couple Play"""
17,Mandy Moore,Tabitha Vixx,378–1722,HABF16,"""Marge and Homer Turn a Couple Play"""
18,Michael Imperioli,Dante Calabresis Jr.,379–1801,HABF15,"""The Mook, the Chef, the Wife and Her Homer"""
18,Joe Mantegna,Fat Tony,379–1801,HABF15,"""The Mook, the Chef, the Wife and Her Homer"""
18,Metallica,Themselves,379–1801,HABF15,"""The Mook, the Chef, the Wife and Her Homer"""
18,Joe Pantoliano,Dante Calabresis,379–1801,HABF15,"""The Mook, the Chef, the Wife and Her Homer"""
18,Larina Jean Adamson,Waitress,380–1802,HABF18,"""Jazzy and the Pussycats"""
18,The White Stripes,Themselves,380–1802,HABF18,"""Jazzy and the Pussycats"""
18,Fran Drescher,Female Golem,382–1804,HABF17,"""Treehouse of Horror XVII"""
18,Maurice LaMarche,Orson Welles,382–1804,HABF17,"""Treehouse of Horror XVII"""
18,Richard Lewis,Male Golem,382–1804,HABF17,"""Treehouse of Horror XVII"""
18,Phil McGraw,Himself,382–1804,HABF17,"""Treehouse of Horror XVII"""
18,Sir Mix-a-Lot,"Sings ""Baby Likes Fat"" (parody of the song Baby Got Back)",382–1804,HABF17,"""Treehouse of Horror XVII"""
18,Marcia Wallace,Edna Krabappel,382–1804,HABF17,"""Treehouse of Horror XVII"""
18,Maurice LaMarche,Recruiter #2::Cap'n Crunch,383–1805,HABF21,"""G.I. (Annoyed Grunt)"""
18,Kiefer Sutherland,Colonel,383–1805,HABF21,"""G.I. (Annoyed Grunt)"""
18,Michael Chabon,Himself,384–1806,HABF19,"""Moe'N'a Lisa"""
18,Jonathan Franzen,Himself,384–1806,HABF19,"""Moe'N'a Lisa"""
18,J. K. Simmons,J. Jonah Jameson,384–1806,HABF19,"""Moe'N'a Lisa"""
18,Gore Vidal,Himself,384–1806,HABF19,"""Moe'N'a Lisa"""
18,Tom Wolfe,Himself,384–1806,HABF19,"""Moe'N'a Lisa"""
18,Elvis Stojko,Himself,387–1809,JABF01,"""Kill Gil, Volumes I & II"""
18,Dana Gould,Rotting Pelican Crewman,388–1810,JABF03,"""The Wife Aquatic"""
18,Maurice LaMarche,First Mate Billy::Oceanographer,388–1810,JABF03,"""The Wife Aquatic"""
18,Sab Shimono,Japanese fisherman,388–1810,JABF03,"""The Wife Aquatic"""
18,Natalie Portman,Darcy,390–1812,JABF04,"""Little Big Girl"""
18,Eric Idle,Declan Desmond,391–1813,JABF07,"""Springfield Up"""
18,Peter Bogdanovich,Psychologist,392–1814,JABF09,"""Yokel Chords"""
18,Andy Dick,Himself,392–1814,JABF09,"""Yokel Chords"""
18,James Patterson,Himself,392–1814,JABF09,"""Yokel Chords"""
18,Meg Ryan,Dr. Stacy Swanson,392–1814,JABF09,"""Yokel Chords"""
18,Stephen Sondheim,Himself,392–1814,JABF09,"""Yokel Chords"""
18,Marcia Wallace,Edna Krabappel,392–1814,JABF09,"""Yokel Chords"""
18,Jane Kaczmarek,Judge Constance Harm,393–1815,JABF08,"""Rome-old and Juli-eh"""
18,Jon Lovitz,Enrico Irritazio,394–1816,JABF06,"""Homerazzi"""
18,J. K. Simmons,Tabloid editor,394–1816,JABF06,"""Homerazzi"""
18,Betty White,Herself,394–1816,JABF06,"""Homerazzi"""
18,Ronaldo,Himself,395–1817,JABF10,"""Marge Gamer"""
18,Marcia Wallace,Edna Krabappel,395–1817,JABF10,"""Marge Gamer"""
18,Rudy Giuliani,Himself,398–1818,JABF12,"""Stop or My Dog Will Shoot"""
18,Stephen Hawking,Himself,398–1818,JABF12,"""Stop or My Dog Will Shoot"""
18,Maurice LaMarche,Farmer::Horn Stuffer,398–1818,JABF12,"""Stop or My Dog Will Shoot"""
18,Marcia Wallace,Edna Krabappel,398–1818,JABF12,"""Stop or My Dog Will Shoot"""
18,Mary Lynn Rajskub,Chloe O'Brian,399–1821,JABF14,"""24 Minutes"""
18,Kiefer Sutherland,Jack Bauer,399–1821,JABF14,"""24 Minutes"""
18,Maurice LaMarche,Fox announcer,400–1822,JABF15,"""You Kent Always Say What You Want"""
18,Ludacris,Himself,400–1822,JABF15,"""You Kent Always Say What You Want"""
Movie,Albert Brooks,Russ Cargill,M1,—,The Simpsons Movie
Movie,Green Day,Themselves,M1,—,The Simpsons Movie
Movie,Tom Hanks,Himself,M1,—,The Simpsons Movie
Movie,Joe Mantegna,Fat Tony,M1,—,The Simpsons Movie
Movie,Philip Rosenthal,TV Dad,M1,—,The Simpsons Movie
Movie,Marcia Wallace,Edna Krabappel,M1,—,The Simpsons Movie
19,Stephen Colbert,Colby Kraus,401–1901,JABF20,"""He Loves to Fly and He D'ohs"""
19,Lionel Richie,Himself,401–1901,JABF20,"""He Loves to Fly and He D'ohs"""
19,Plácido Domingo,Himself,402–1902,JABF18,"""Homer of Seville"""
19,Maya Rudolph,Julia,402–1902,JABF18,"""Homer of Seville"""
19,Matt Dillon,Louie,403–1903,JABF21,"""Midnight Towboy"""
19,Steve Buscemi,Dwight David Diddlehoffer,404–1904,JABF19,"""I Don't Wanna Know Why the Caged Bird Sings"""
19,Julia Louis-Dreyfus,Gloria,404–1904,JABF19,"""I Don't Wanna Know Why the Caged Bird Sings"""
19,Ted Nugent,Himself,404–1904,JABF19,"""I Don't Wanna Know Why the Caged Bird Sings"""
19,Maurice LaMarche,Government Official,405–1905,JABF16,"""Treehouse of Horror XVIII"""
19,Jack Black,Milo,407–1907,JABF17,"""Husbands and Knives"""
